Year,Team,Position,Points,Profit(£),Age,Name,Height(cm)
2020,Aston Villa,17,35,106.1,25.7,Kaine Kesler-Hayden,175
2020,Aston Villa,17,35,106.1,25.7,Indiana Vassilev,175
2020,AFC Bournemouth,18,34,100.8,25.2,Philip Billing,193
2020,AFC Bournemouth,18,34,100.8,25.2,Artur Boruc,193
2020,AFC Bournemouth,18,34,100.8,25.2,Simon Francis,191
2020,AFC Bournemouth,18,34,100.8,25.2,Chris Mepham,191
2020,AFC Bournemouth,18,34,100.8,25.2,Mark Travers,191
2020,AFC Bournemouth,18,34,100.8,25.2,Lloyd Kelly,190
2020,AFC Bournemouth,18,34,100.8,25.2,Aaron Ramsdale,190
2020,AFC Bournemouth,18,34,100.8,25.2,Jack Simpson,190
2020,AFC Bournemouth,18,34,100.8,25.2,Sam Surridge,190
2020,AFC Bournemouth,18,34,100.8,25.2,Brooklyn Genesini,189
2020,AFC Bournemouth,18,34,100.8,25.2,Matt Butcher,188
2020,AFC Bournemouth,18,34,100.8,25.2,Will Dennis,188
2020,AFC Bournemouth,18,34,100.8,25.2,Dominic Solanke,187
2020,AFC Bournemouth,18,34,100.8,25.2,Steve Cook,185
2020,AFC Bournemouth,18,34,100.8,25.2, Diego Rico,183
2020,AFC Bournemouth,18,34,100.8,25.2,Dan Gosling,183
2020,AFC Bournemouth,18,34,100.8,25.2,Junior Stanislas,183
2020,AFC Bournemouth,18,34,100.8,25.2,Christian Saydee,181
2020,AFC Bournemouth,18,34,100.8,25.2,Nathan Aké,180
2020,AFC Bournemouth,18,34,100.8,25.2,Joshua King,180
2020,AFC Bournemouth,18,34,100.8,25.2,Adam Smith,180
2020,AFC Bournemouth,18,34,100.8,25.2,Jack Stacey,180
2020,AFC Bournemouth,18,34,100.8,25.2,Callum Wilson,180
2020,AFC Bournemouth,18,34,100.8,25.2,Jefferson Lerma,179
2020,AFC Bournemouth,18,34,100.8,25.2,Charlie Daniels,178
2020,AFC Bournemouth,18,34,100.8,25.2,Arnaut Danjuma,178
2020,AFC Bournemouth,18,34,100.8,25.2,Andrew Surman,178
2020,AFC Bournemouth,18,34,100.8,25.2,Lewis Cook,175
2020,AFC Bournemouth,18,34,100.8,25.2,Nnamdi Ofoborh,175
2020,Watford FC,19,34,97.7,28.9,Pontus Dahlberg,194
2020,Watford FC,19,34,97.7,28.9,Ben Foster,193
2020,Watford FC,19,34,97.7,28.9,Daniel Bachmann,191
2020,Watford FC,19,34,97.7,28.9, Gomes,191
2020,Watford FC,19,34,97.7,28.9,Adam Masina,191
2020,Watford FC,19,34,97.7,28.9,Mason Barrett,190
2020,Watford FC,19,34,97.7,28.9,Sam Dalby,190
2020,Watford FC,19,34,97.7,28.9,Bayli Spencer-Adams,190
2020,Watford FC,19,34,97.7,28.9,Étienne Capoue,189
2020,Watford FC,19,34,97.7,28.9,Craig Cathcart,188
2020,Watford FC,19,34,97.7,28.9,Craig Dawson,188
2020,Watford FC,19,34,97.7,28.9,Marc Navarro,188
2020,Watford FC,19,34,97.7,28.9,Ben Wilmot,188
2020,Watford FC,19,34,97.7,28.9, João Pedro,187
2020,Watford FC,19,34,97.7,28.9,Christian Kabasele,187
2020,Watford FC,19,34,97.7,28.9,Adalberto Peñaranda,186
2020,Watford FC,19,34,97.7,28.9,Nathaniel Chalobah,185
2020,Watford FC,19,34,97.7,28.9,Will Hughes,185
2020,Watford FC,19,34,97.7,28.9,Daryl Janmaat,185
2020,Watford FC,19,34,97.7,28.9,Ismaïla Sarr,185
2020,Watford FC,19,34,97.7,28.9,Danny Welbeck,185
2020,Watford FC,19,34,97.7,28.9,José Cholevas,184
2020,Watford FC,19,34,97.7,28.9,Filip Stuparević,184
2020,Watford FC,19,34,97.7,28.9,Troy Deeney,183
2020,Watford FC,19,34,97.7,28.9,Abdoulaye Doucouré,183
2020,Watford FC,19,34,97.7,28.9,Roberto Pereyra,182
2020,Watford FC,19,34,97.7,28.9,Isaac Success,182
2020,Watford FC,19,34,97.7,28.9,Jerome Sinclair,181
2020,Watford FC,19,34,97.7,28.9,Adrian Mariappa,180
2020,Watford FC,19,34,97.7,28.9,Ignacio Pussetto,180
2020,Watford FC,19,34,97.7,28.9,Tom Dele-Bashiru,178
2020,Watford FC,19,34,97.7,28.9,Andre Gray,178
2020,Watford FC,19,34,97.7,28.9, Gerard Deulofeu,177
2020,Watford FC,19,34,97.7,28.9,Cucho Hernández,176
2020,Watford FC,19,34,97.7,28.9,Tom Cleverley,175
2020,Watford FC,19,34,97.7,28.9, Kiko Femenía,174
2020,Watford FC,19,34,97.7,28.9,Henry Wise,174
2020,Norwich City,20,21,94.5,26.0,Archie Mair,198
2020,Norwich City,20,21,94.5,26.0,Aston Oxborough,196
2020,Norwich City,20,21,94.5,26.0,Christoph Zimmermann,194
2020,Norwich City,20,21,94.5,26.0,Timm Klose,193
2020,Norwich City,20,21,94.5,26.0,Michael McGovern,191
2020,Norwich City,20,21,94.5,26.0,Adam Idah,190
2020,Norwich City,20,21,94.5,26.0,Marco Stiepermann,190
2020,Norwich City,20,21,94.5,26.0,Akin Famewo,188
2020,Norwich City,20,21,94.5,26.0,Grant Hanley,188
2020,Norwich City,20,21,94.5,26.0,Tim Krul,188
2020,Norwich City,20,21,94.5,26.0,Mario Vrančić,187
2020,Norwich City,20,21,94.5,26.0,Danel Sinani,185
2020,Norwich City,20,21,94.5,26.0,Josip Drmić,184
2020,Norwich City,20,21,94.5,26.0,Ben Godfrey,184
2020,Norwich City,20,21,94.5,26.0,Philip Heise,184
2020,Norwich City,20,21,94.5,26.0,Sam Byram,183
