Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2016,Manchester United,5,66,96.4,25.6,Januzaj,3120000
2016,Manchester United,5,66,96.4,25.6,Darmian,2340000
2016,Manchester United,5,66,96.4,25.6,Pereira,1040000
2016,Manchester United,5,66,96.4,25.6,Wilson,1040000
2016,Manchester United,5,66,96.4,25.6,Varela,780000
2016,Manchester United,5,66,96.4,25.6,Castro Pereira,260000
2016,Manchester United,5,66,96.4,25.6,Harrop,260000
2016,Southampton FC,6,63,84.8,26.4,Austin,3640000
2016,Southampton FC,6,63,84.8,26.4,Rodriguez,2860000
2016,Southampton FC,6,63,84.8,26.4,Clasie,2600000
2016,Southampton FC,6,63,84.8,26.4,Gardos,1560000
2016,Southampton FC,6,63,84.8,26.4,Yoshida,1456000
2016,Southampton FC,6,63,84.8,26.4,Gazzaniga,936000
2016,Southampton FC,6,63,84.8,26.4,Reed,624000
2016,Southampton FC,6,63,84.8,26.4,Stephens,624000
2016,Southampton FC,6,63,84.8,26.4,Gallagher,624000
2016,Southampton FC,6,63,84.8,26.4,Targett,520000
2016,Southampton FC,6,63,84.8,26.4,Wood,41600
2016,West Ham United,7,62,85.8,26.6,Carroll,4680000
2016,West Ham United,7,62,85.8,26.6,Ogbonna,3120000
2016,West Ham United,7,62,85.8,26.6,Reid,3120000
2016,West Ham United,7,62,85.8,26.6,Noble,2600000
2016,West Ham United,7,62,85.8,26.6,Obiang,2600000
2016,West Ham United,7,62,85.8,26.6,Valencia,2080000
2016,West Ham United,7,62,85.8,26.6,Kouyate,1560000
2016,West Ham United,7,62,85.8,26.6,Sakho,1560000
2016,West Ham United,7,62,85.8,26.6,Byram,1560000
2016,West Ham United,7,62,85.8,26.6,Antonio,1300000
2016,West Ham United,7,62,85.8,26.6,Cullen,416000
2016,West Ham United,7,62,85.8,26.6,Burke,156000
2016,Liverpool FC,8,60,90.5,25.2,Benteke,7280000
2016,Liverpool FC,8,60,90.5,25.2,Milner,7280000
2016,Liverpool FC,8,60,90.5,25.2,Sturridge,6760000
2016,Liverpool FC,8,60,90.5,25.2,Henderson,5200000
2016,Liverpool FC,8,60,90.5,25.2,Firmino,5200000
2016,Liverpool FC,8,60,90.5,25.2,Sakho,4420000
2016,Liverpool FC,8,60,90.5,25.2,Ings,3900000
2016,Liverpool FC,8,60,90.5,25.2,Leiva,3900000
2016,Liverpool FC,8,60,90.5,25.2,Clyne,3640000
2016,Liverpool FC,8,60,90.5,25.2,Coutinho,3640000
2016,Liverpool FC,8,60,90.5,25.2,Lallana,3380000
2016,Liverpool FC,8,60,90.5,25.2,Lovren,3380000
2016,Liverpool FC,8,60,90.5,25.2,Can,2340000
2016,Liverpool FC,8,60,90.5,25.2,Moreno,2080000
2016,Liverpool FC,8,60,90.5,25.2,Markovic,1820000
2016,Liverpool FC,8,60,90.5,25.2,Flanagan,1716000
2016,Liverpool FC,8,60,90.5,25.2,Bogdan,1560000
2016,Liverpool FC,8,60,90.5,25.2,Mignolet,1560000
2016,Liverpool FC,8,60,90.5,25.2,Origi,1456000
2016,Liverpool FC,8,60,90.5,25.2,Wisdom,1196000
2016,Liverpool FC,8,60,90.5,25.2,Ward,936000
2016,Liverpool FC,8,60,90.5,25.2,Stewart,832000
2016,Liverpool FC,8,60,90.5,25.2,Gomez,780000
2016,Liverpool FC,8,60,90.5,25.2,Ibe,520000
2016,Liverpool FC,8,60,90.5,25.2,Ojo,520000
2016,Liverpool FC,8,60,90.5,25.2,Grujic,390000
2016,Liverpool FC,8,60,90.5,25.2,Awoniyi,260000
2016,Liverpool FC,8,60,90.5,25.2,Wilson,208000
2016,Liverpool FC,8,60,90.5,25.2,Brannagan,156000
2016,Liverpool FC,8,60,90.5,25.2,Randall,104000
2016,Liverpool FC,8,60,90.5,25.2,Alexander-Arnold,104000
2016,Stoke City,9,51,79.5,27.4,Diouf,3380000
2016,Stoke City,9,51,79.5,27.4,Shaqiri,3380000
2016,Stoke City,9,51,79.5,27.4,Imbula,2600000
2016,Stoke City,9,51,79.5,27.4,Krkic,2496000
2016,Stoke City,9,51,79.5,27.4,Wollscheid,2340000
2016,Stoke City,9,51,79.5,27.4,Shawcross,2340000
2016,Stoke City,9,51,79.5,27.4,Pieters,1976000
2016,Stoke City,9,51,79.5,27.4,Adam,1820000
2016,Stoke City,9,51,79.5,27.4,Butland,1820000
2016,Stoke City,9,51,79.5,27.4,Mato,1716000
2016,Stoke City,9,51,79.5,27.4,Muniesa,1716000
2016,Stoke City,9,51,79.5,27.4,Ireland,1716000
2016,Stoke City,9,51,79.5,27.4,Bardsley,1612000
2016,Stoke City,9,51,79.5,27.4,Johnson,1560000
2016,Stoke City,9,51,79.5,27.4,Walters,1300000
2016,Stoke City,9,51,79.5,27.4,Haugaard,520000
2016,Stoke City,9,51,79.5,27.4,Souttar,156000
2016,Chelsea FC,10,50,87.2,26.8,Hazard,11700000
2016,Chelsea FC,10,50,87.2,26.8,Costa,9620000
2016,Chelsea FC,10,50,87.2,26.8,Fàbregas,8112000
2016,Chelsea FC,10,50,87.2,26.8,Terry,7800000
2016,Chelsea FC,10,50,87.2,26.8,Courtois,6240000
2016,Chelsea FC,10,50,87.2,26.8,Cahill,5200000
2016,Chelsea FC,10,50,87.2,26.8,Rodríguez Ledesma,5200000
2016,Chelsea FC,10,50,87.2,26.8,Remy,4680000
2016,Chelsea FC,10,50,87.2,26.8,Matic,4680000
2016,Chelsea FC,10,50,87.2,26.8,Rahman,4472000
2016,Chelsea FC,10,50,87.2,26.8,da Silva,4420000
2016,Chelsea FC,10,50,87.2,26.8,Ivanovic,3900000
2016,Chelsea FC,10,50,87.2,26.8,Begovic,3120000
2016,Chelsea FC,10,50,87.2,26.8,Azpilicueta,3120000
2016,Chelsea FC,10,50,87.2,26.8,Courtois,3120000
2016,Chelsea FC,10,50,87.2,26.8,Moses,2600000
2016,Chelsea FC,10,50,87.2,26.8,Moses,2340000
2016,Chelsea FC,10,50,87.2,26.8,Zouma,2200000
2016,Chelsea FC,10,50,87.2,26.8,Christensen,1820000
2016,Chelsea FC,10,50,87.2,26.8,McEachran,1563229
2016,Chelsea FC,10,50,87.2,26.8,Kenedy,1300000
2016,Chelsea FC,10,50,87.2,26.8,Pasalic,1196000
2016,Chelsea FC,10,50,87.2,26.8,Kalas,1196000
2016,Chelsea FC,10,50,87.2,26.8,Ake,1042153
2016,Chelsea FC,10,50,87.2,26.8,Brown,1040000
2016,Chelsea FC,10,50,87.2,26.8,Palmer,1040000
2016,Chelsea FC,10,50,87.2,26.8,Omeruo,1040000
2016,Chelsea FC,10,50,87.2,26.8,Baker,1040000
2016,Chelsea FC,10,50,87.2,26.8,Hector,884000
2016,Chelsea FC,10,50,87.2,26.8,Piazón,832000
